t,x(t),v(t),p(t),eKin(t),eSpr(t)
0.0006,-3,0,0,0,0
0.0012,-2.999996,0.0072,0.072,0.0002592,0
0.0018,-2.999987,0.01439999,0.1439999,0.001036799,0
0.0024,-2.999974,0.02159996,0.2159996,0.002332791,0
0.003,-2.999957,0.0287999,0.287999,0.004147171,0
0.0036,-2.999935,0.0359998,0.359998,0.006479927,0
0.0042,-2.999909,0.04319964,0.4319964,0.009331046,0
0.0048,-2.999879,0.05039943,0.5039943,0.01270051,0
0.0054,-2.999845,0.05759913,0.5759913,0.0165883,0
0.006,-2.999806,0.06479876,0.6479877,0.0209944,0
0.006599999,-2.999763,0.0719983,0.719983,0.02591877,0
0.007199999,-2.999715,0.07919773,0.7919773,0.0313614,0
0.007799999,-2.999663,0.08639704,0.8639705,0.03732225,0
0.0084,-2.999607,0.09359623,0.9359623,0.04380127,0
0.009,-2.999547,0.1007953,1.007953,0.05079845,0
0.0096,-2.999482,0.1079942,1.079942,0.05831374,0
0.0102,-2.999413,0.115193,1.15193,0.06634709,0
0.0108,-2.999339,0.1223916,1.223916,0.07489846,0
0.0114,-2.999261,0.12959,1.2959,0.08396779,0
0.012,-2.999179,0.1367882,1.367882,0.09355504,0
0.0126,-2.999093,0.1439862,1.439862,0.1036602,0
0.0132,-2.999002,0.1511841,1.511841,0.1142831,0
0.0138,-2.998907,0.1583817,1.583817,0.1254237,0
0.0144,-2.998808,0.165579,1.65579,0.1370821,0
0.015,-2.998704,0.1727762,1.727762,0.149258,0
0.0156,-2.998596,0.1799731,1.799731,0.1619515,0
0.0162,-2.998484,0.1871697,1.871697,0.1751625,0
0.0168,-2.998367,0.1943661,1.943661,0.1888908,0
0.0174,-2.998246,0.2015622,2.015621,0.2031365,0
0.018,-2.998121,0.2087579,2.087579,0.2178994,0
0.0186,-2.997992,0.2159534,2.159534,0.2331794,0
0.0192,-2.997858,0.2231486,2.231486,0.2489765,0
0.0198,-2.99772,0.2303435,2.303435,0.2652906,0
0.0204,-2.997577,0.237538,2.37538,0.2821215,0
0.02100001,-2.99743,0.2447322,2.447322,0.2994692,0
0.02160001,-2.997279,0.251926,2.51926,0.3173336,0
0.02220001,-2.997123,0.2591195,2.591195,0.3357145,0
0.02280001,-2.996964,0.2663126,2.663126,0.3546119,0
0.02340001,-2.9968,0.2735053,2.735053,0.3740257,0
0.02400001,-2.996631,0.2806976,2.806976,0.3939557,0
0.02460001,-2.996459,0.2878895,2.878895,0.4144019,0
0.02520001,-2.996282,0.295081,2.95081,0.435364,0
0.02580001,-2.9961,0.3022721,3.022721,0.4568421,0
