t,x(t),v(t),p(t),eKin(t)
0.0005,10,0,0,0
0.001,10,0,0,0
0.0015,10,0,0,0
0.002,10,0,0,0
0.0025,10,0,0,0
0.003,10,0,0,0
0.0035,10,0,0,0
0.004,10,0,0,0
0.0045,10,0,0,0
0.005,10,0,0,0
0.0055,10,0,0,0
0.006000001,10,0,0,0
0.006500001,10,0,0,0
0.007000001,10,0,0,0
0.007500001,10,0,0,0
0.008,10,0,0,0
0.0085,10,0,0,0
0.009000001,10,0,0,0
0.009500001,10,0,0,0
0.01,10,0,0,0
0.0105,10,0,0,0
0.011,10,0,0,0
0.0115,10,0,0,0
0.012,10,0,0,0
0.0125,10,0,0,0
0.013,10,0,0,0
0.0135,10,0,0,0
0.014,10,0,0,0
0.0145,10,0,0,0
0.015,10,0,0,0
0.0155,10,0,0,0
0.016,10,0,0,0
0.0165,10,0,0,0
0.017,10,0,0,0
0.0175,10,0,0,0
0.018,10,0,0,0
0.0185,10,0,0,0
0.019,10,0,0,0
0.01949999,10,0,0,0
0.01999999,10,0,0,0
0.02049999,10,0,0,0
0.02099999,10,0,0,0
0.02149999,10,0,0,0
0.02199999,10,0,0,0
0.02249999,10,0,0,0
0.02299999,10,0,0,0
0.02349999,10,0,0,0
0.02399999,10,0,0,0
0.02449999,10,0,0,0
0.02499999,10,0,0,0
0.02549998,10,0,0,0
0.02599998,10,0,0,0
0.02649998,10,0,0,0
0.02699998,10,0,0,0
0.02749998,10,0,0,0
0.02799998,10,0,0,0
0.02849998,10,0,0,0
0.02899998,10,0,0,0
0.02949998,10,0,0,0
0.02999998,10,0,0,0
0.03049998,10,0,0,0
0.03099998,10,0,0,0
0.03149997,10,0,0,0
0.03199998,10,0,0,0
0.03249998,10,0,0,0
0.03299998,10,0,0,0
0.03349998,10,0,0,0
0.03399998,10,0,0,0
0.03449998,10,0,0,0
0.03499998,10,0,0,0
0.03549998,10,0,0,0
0.03599998,10,0,0,0
0.03649998,10,0,0,0
0.03699999,10,0,0,0
0.03749999,10,0,0,0
0.03799999,10,0,0,0
0.03849999,10,0,0,0
0.03899999,10,0,0,0
0.03949999,10,0,0,0
0.03999999,10,0,0,0
0.04049999,10,0,0,0
0.04099999,10,0,0,0
0.04149999,10,0,0,0
0.042,10,0,0,0
0.0425,10,0,0,0
0.043,10,0,0,0
0.0435,10,0,0,0
0.044,10,0,0,0
0.0445,10,0,0,0
0.045,10,0,0,0
0.0455,10,0,0,0
0.046,10,0,0,0
0.0465,10,0,0,0
0.04700001,10,0,0,0
0.04750001,10,0,0,0
0.04800001,10,0,0,0
0.04850001,10,0,0,0
0.04900001,10,0,0,0
0.04950001,10,0,0,0
0.05000001,10,0,0,0
0.05050001,10,0,0,0
0.05100001,10,0,0,0
0.05150001,10,0,0,0
0.05200002,10,0,0,0
0.05250002,10,0,0,0
0.05300002,10,0,0,0
0.05350002,10,0,0,0
0.05400002,10,0,0,0
0.05450002,10,0,0,0
0.05500002,10,0,0,0
0.05550002,10,0,0,0
0.05600002,10,0,0,0
0.05650003,10,0,0,0
0.05700003,10,0,0,0
0.05750003,10,0,0,0
0.05800003,10,0,0,0
0.05850003,10,0,0,0
0.05900003,10,0,0,0
0.05950003,10,0,0,0
0.06000003,10,0,0,0
0.06050003,10,0,0,0
0.06100003,10,0,0,0
0.06150004,10,0,0,0
0.06200004,10,0,0,0
0.06250004,10,0,0,0
0.06300004,10,0,0,0
0.06350004,10,0,0,0
0.06400004,10,0,0,0
0.06450004,10,0,0,0
0.06500004,10,0,0,0
0.06550004,10,0,0,0
0.06600004,10,0,0,0
0.06650005,10,0,0,0
0.06700005,10,0,0,0
0.06750005,10,0,0,0
0.06800005,10,0,0,0
0.06850005,10,0,0,0
0.06900005,10,0,0,0
0.06950005,10,0,0,0
0.07000005,10,0,0,0
0.07050005,10,0,0,0
0.07100005,10,0,0,0
0.07150006,10,0,0,0
0.07200006,10,0,0,0
0.07250006,10,0,0,0
0.07300006,10,0,0,0
0.07350006,10,0,0,0
0.07400006,10,0,0,0
0.07450006,10,0,0,0
0.07500006,10,0,0,0
0.07550006,10,0,0,0
0.07600006,10,0,0,0
0.07650007,10,0,0,0
0.07700007,10,0,0,0
0.07750007,10,0,0,0
0.07800007,10,0,0,0
0.07850007,10,0,0,0
0.07900007,10,0,0,0
0.07950007,10,0,0,0
0.08000007,10,0,0,0
0.08050007,10,0,0,0
0.08100007,10,0,0,0
0.08150008,10,0,0,0
0.08200008,10,0,0,0
0.08250008,10,0,0,0
0.08300008,10,0,0,0
0.08350008,10,0,0,0
0.08400008,10,0,0,0
0.08450008,10,0,0,0
0.08500008,10,0,0,0
0.08550008,10,0,0,0
0.08600008,10,0,0,0
0.08650009,10,0,0,0
0.08700009,10,0,0,0
0.08750009,10,0,0,0
0.08800009,10,0,0,0
0.08850009,10,0,0,0
0.08900009,10,0,0,0
0.08950009,10,0,0,0
0.09000009,10,0,0,0
0.09050009,10,0,0,0
0.0910001,10,0,0,0
0.0915001,10,0,0,0
0.0920001,10,0,0,0
0.0925001,10,0,0,0
0.0930001,10,0,0,0
0.0935001,10,0,0,0
0.0940001,10,0,0,0
0.0945001,10,0,0,0
0.0950001,10,0,0,0
0.0955001,10,0,0,0
0.09600011,10,0,0,0
0.09650011,10,0,0,0
0.09700011,10,0,0,0
0.09750011,10,0,0,0
0.09800011,10,0,0,0
0.09850011,10,0,0,0
0.09900011,10,0,0,0
0.09950011,10,0,0,0
0.1000001,10,0,0,0
0.1005001,10,0,0,0
0.1010001,10,0,0,0
0.1015001,10,0,0,0
0.1020001,10,0,0,0
0.1025001,10,0,0,0
0.1030001,10,0,0,0
0.1035001,10,0,0,0
0.1040001,10,0,0,0
0.1045001,10,0,0,0
0.1050001,10,0,0,0
0.1055001,10,0,0,0
0.1060001,10,0,0,0
0.1065001,10,0,0,0
0.1070001,10,0,0,0
0.1075001,10,0,0,0
0.1080001,10,0,0,0
0.1085001,10,0,0,0
0.1090001,10,0,0,0
0.1095001,10,0,0,0
0.1100001,10,0,0,0
0.1105001,10,0,0,0
0.1110001,10,0,0,0
0.1115001,10,0,0,0
0.1120001,10,0,0,0
0.1125001,10,0,0,0
0.1130001,10,0,0,0
0.1135001,10,0,0,0
0.1140001,10,0,0,0
0.1145001,10,0,0,0
0.1150001,10,0,0,0
0.1155001,10,0,0,0
0.1160001,10,0,0,0
0.1165001,10,0,0,0
0.1170001,10,0,0,0
0.1175001,10,0,0,0
0.1180001,10,0,0,0
0.1185002,10,0,0,0
0.1190002,10,0,0,0
0.1195002,10,0,0,0
0.1200002,10,0,0,0
0.1205002,10,0,0,0
0.1210002,10,0,0,0
0.1215002,10,0,0,0
0.1220002,10,0,0,0
0.1225002,10,0,0,0
0.1230002,10,0,0,0
0.1235002,10,0,0,0
0.1240002,10,0,0,0
0.1245002,10,0,0,0
0.1250002,10,0,0,0
0.1255002,10,0,0,0
0.1260002,10,0,0,0
0.1265001,10,0,0,0
0.1270001,10,0,0,0
0.1275001,10,0,0,0
0.1280001,10,0,0,0
0.1285001,10,0,0,0
0.1290001,10,0,0,0
0.1295001,10,0,0,0
0.1300001,10,0,0,0
0.1305001,10,0,0,0
0.1310001,10,0,0,0
0.1315001,10,0,0,0
0.1320001,10,0,0,0
0.1325001,10,0,0,0
0.1330001,10,0,0,0
0.1335001,10,0,0,0
0.134,10,0,0,0
0.1345,10,0,0,0
0.135,10,0,0,0
0.1355,10,0,0,0
0.136,10,0,0,0
0.1365,10,0,0,0
0.137,10,0,0,0
0.1375,10,0,0,0
0.138,10,0,0,0
0.1385,10,0,0,0
0.139,10,0,0,0
0.1395,10,0,0,0
0.14,10,0,0,0
0.1405,10,0,0,0
0.141,10,0,0,0
0.1415,10,0,0,0
0.1419999,10,0,0,0
0.1424999,10,0,0,0
0.1429999,10,0,0,0
0.1434999,10,0,0,0
0.1439999,10,0,0,0
0.1444999,10,0,0,0
0.1449999,10,0,0,0
0.1454999,10,0,0,0
0.1459999,10,0,0,0
0.1464999,10,0,0,0
0.1469999,10,0,0,0
0.1474999,10,0,0,0
0.1479999,10,0,0,0
0.1484999,10,0,0,0
0.1489999,10,0,0,0
0.1494998,10,0,0,0
0.1499998,10,0,0,0
0.1504998,10,0,0,0
0.1509998,10,0,0,0
0.1514998,10,0,0,0
0.1519998,10,0,0,0
0.1524998,10,0,0,0
0.1529998,10,0,0,0
0.1534998,10,0,0,0
0.1539998,10,0,0,0
0.1544998,10,0,0,0
0.1549998,10,0,0,0
0.1554998,10,0,0,0
0.1559998,10,0,0,0
