t,x(t),v(t)
0.02,-10,0
0.04,-9.998426,0.078656
0.06,-9.995311,0.1557729
0.08,-9.990683,0.2313956
0.09999999,-9.984571,0.3055672
0.12,-9.977005,0.3783293
0.14,-9.968011,0.4497218
0.16,-9.957615,0.519783
0.18,-9.945844,0.58855
0.2,-9.932722,0.6560585
0.22,-9.918275,0.7223427
0.24,-9.902526,0.7874358
0.26,-9.885498,0.8513697
0.28,-9.867214,0.9141752
0.3,-9.847696,0.975882
0.32,-9.826966,1.036519
0.34,-9.805044,1.096113
0.36,-9.78195,1.154692
0.38,-9.757705,1.21228
0.4,-9.732327,1.268904
0.42,-9.705834,1.324587
0.4400001,-9.678247,1.379353
0.4600001,-9.649583,1.433224
0.4800001,-9.619859,1.486221
0.5000001,-9.589091,1.538367
0.52,-9.557298,1.589681
0.54,-9.524494,1.640183
0.56,-9.490696,1.689893
0.58,-9.455919,1.738829
0.6,-9.420179,1.787008
0.6199999,-9.383491,1.834449
0.6399999,-9.345867,1.881168
0.6599999,-9.307323,1.927182
0.6799999,-9.267874,1.972507
0.6999999,-9.22753,2.017157
0.7199998,-9.186308,2.061148
0.7399998,-9.144218,2.104495
0.7599998,-9.101274,2.147212
0.7799998,-9.057488,2.189311
0.7999998,-9.012873,2.230807
0.8199998,-8.967439,2.271713
0.8399997,-8.921198,2.31204
0.8599997,-8.874162,2.351802
0.8799997,-8.826342,2.39101
0.8999997,-8.777748,2.429675
0.9199997,-8.728392,2.467809
0.9399996,-8.678283,2.505423
0.9599996,-8.627432,2.542526
0.9799996,-8.57585,2.579131
0.9999996,-8.523544,2.615246
1.02,-8.470527,2.650882
1.04,-8.416806,2.686047
1.06,-8.362391,2.720752
1.08,-8.307291,2.755005
1.1,-8.251514,2.788815
1.12,-8.19507,2.82219
1.14,-8.137967,2.855139
1.159999,-8.080214,2.88767
1.179999,-8.021818,2.919791
1.199999,-7.962788,2.95151
1.219999,-7.903131,2.982834
1.239999,-7.842856,3.01377
1.259999,-7.78197,3.044326
1.279999,-7.720479,3.074508
1.299999,-7.658393,3.104325
1.319999,-7.595717,3.133781
1.339999,-7.53246,3.162884
1.359999,-7.468627,3.191639
1.379999,-7.404226,3.220054
1.399999,-7.339263,3.248134
1.419999,-7.273745,3.275885
1.439999,-7.207679,3.303313
1.459999,-7.14107,3.330424
1.479999,-7.073926,3.357222
1.499999,-7.006252,3.383713
1.519999,-6.938054,3.409904
1.539999,-6.869338,3.435797
1.559999,-6.800109,3.4614
1.579999,-6.730375,3.486716
1.599999,-6.660141,3.51175
1.619999,-6.58941,3.536508
1.639999,-6.51819,3.560993
1.659999,-6.446486,3.58521
1.679999,-6.374303,3.609164
1.699999,-6.301646,3.632858
1.719999,-6.22852,3.656297
1.739999,-6.15493,3.679486
1.759999,-6.080882,3.702427
1.779999,-6.006379,3.725126
1.799999,-5.931427,3.747586
1.819999,-5.856031,3.769809
