t,x(t),v(t)
0.02,0,0
0.04,0,0
0.06,0,0
0.08,0,0
0.09999999,0,0
0.12,0,0
0.14,0,0
0.16,0,0
0.18,0,0
0.2,0,0
0.22,0,0
0.24,0,0
0.26,0,0
0.28,0,0
0.3,0,0
0.32,0,0
0.34,0,0
0.36,0,0
0.38,0,0
0.4,0,0
0.42,0,0
0.4400001,0,0
0.4600001,0,0
0.4800001,0,0
0.5000001,0,0
0.52,0,0
0.54,0,0
0.56,0,0
0.58,0,0
0.6,0,0
0.6199999,0,0
0.6399999,0,0
0.6599999,0,0
0.6799999,0,0
0.6999999,0,0
0.7199998,0,0
0.7399998,0,0
0.7599998,0,0
0.7799998,0,0
0.7999998,0,0
0.8199998,0,0
0.8399997,0,0
0.8599997,0,0
0.8799997,0,0
0.8999997,0,0
0.9199997,0,0
0.9399996,0,0
0.9599996,0,0
0.9799996,0,0
0.9999996,0,0
1.02,0,0
1.04,0,0
1.06,0,0
1.08,0,0
1.1,0,0
1.12,0,0
1.14,0,0
1.159999,0,0
1.179999,0,0
1.199999,0,0
1.219999,0,0
1.239999,0,0
1.259999,0,0
1.279999,0,0
1.299999,0,0
1.319999,0,0
1.339999,0,0
1.359999,0,0
1.379999,0,0
1.399999,0,0
1.419999,0,0
1.439999,0,0
1.459999,0,0
1.479999,0,0
1.499999,0,0
1.519999,0,0
1.539999,0,0
1.559999,0,0
1.579999,0,0
1.599999,0,0
1.619999,0,0
1.639999,0,0
1.659999,0,0
1.679999,0,0
1.699999,0,0
1.719999,0,0
1.739999,0,0
1.759999,0,0
1.779999,0,0
1.799999,0,0
1.819999,0,0
1.839999,0,0
1.859999,0,0
1.879999,0,0
1.899999,0,0
1.919999,0,0
1.939999,0,0
1.959999,0,0
1.979999,0,0
1.999999,0,0
2.019999,0,0
2.039999,0,0
2.059999,0,0
2.079999,0,0
2.099999,0,0
2.119999,0,0
2.139999,0,0
2.159999,0,0
2.179999,0,0
2.199999,0,0
2.219999,0,0
2.239999,0,0
2.259999,0,0
2.279999,0,0
2.299999,0,0
2.319999,0,0
2.339998,0,0
2.359998,0,0
2.379998,0,0
2.399998,0,0
2.419998,0,0
2.439998,0,0
2.459998,0,0
2.479998,0,0
2.499998,0,0
2.519998,0,0
2.539998,0,0
2.559998,0,0
2.579998,0,0
2.599998,0,0
2.619998,0,0
2.639998,0,0
2.659998,0,0
2.679998,0,0
2.699998,0,0
2.719998,0,0
2.739998,0,0
2.759998,0,0
2.779998,0,0
2.799998,0,0
2.819998,0,0
2.839998,0,0
2.859998,0,0
2.879998,0,0
2.899998,0,0
2.919998,0,0
2.939998,0,0
2.959998,0,0
2.979998,0.06341724,3.170218
2.999998,0.1268216,3.170218
3.019998,0.1902259,3.170218
3.039998,0.2536303,3.170218
3.059998,0.3170346,3.170218
3.079998,0.380439,3.170218
3.099998,0.4438433,3.170218
3.119998,0.5072477,3.170218
3.139998,0.570652,3.170218
3.159998,0.6340563,3.170218
3.179998,0.6974607,3.170218
3.199998,0.760865,3.170218
3.219998,0.8242693,3.170218
3.239998,0.8876736,3.170218
3.259998,0.9510779,3.170218
3.279998,1.014482,3.170218
3.299998,1.077887,3.170218
3.319998,1.141291,3.170218
3.339998,1.204695,3.170218
3.359998,1.2681,3.170218
3.379997,1.331504,3.170218
3.399997,1.394908,3.170218
3.419997,1.458313,3.170218
3.439997,1.521717,3.170218
3.459997,1.585121,3.170218
3.479997,1.648525,3.170218
3.499997,1.71193,3.170218
3.519997,1.775334,3.170218
3.539997,1.838738,3.170218
3.559997,1.902143,3.170218
3.579997,1.965547,3.170218
3.599997,2.028951,3.170218
3.619997,2.092356,3.170218
3.639997,2.15576,3.170218
3.659997,2.219164,3.170218
3.679997,2.282569,3.170218
3.699997,2.345973,3.170218
3.719997,2.409377,3.170218
3.739997,2.472782,3.170218
3.759997,2.536186,3.170218
3.779997,2.59959,3.170218
3.799997,2.662995,3.170218
3.819997,2.726399,3.170218
3.839997,2.789803,3.170218
3.859997,2.853208,3.170218
3.879997,2.916612,3.170218
3.899997,2.980016,3.170218
3.919997,3.043421,3.170218
3.939997,3.106825,3.170218
3.959997,3.170229,3.170218
3.979997,3.233634,3.170218
3.999997,3.297038,3.170218
4.019997,3.360442,3.170218
4.039997,3.423846,3.170218
4.059997,3.487251,3.170218
4.079997,3.550655,3.170218
4.099997,3.614059,3.170218
4.119997,3.677464,3.170218
4.139997,3.740868,3.170218
4.159997,3.804272,3.170218
4.179997,3.867677,3.170218
4.199997,3.931081,3.170218
4.219997,3.994485,3.170218
4.239997,4.05789,3.170218
4.259997,4.121294,3.170218
4.279997,4.184699,3.170218
4.299997,4.248104,3.170218
4.319997,4.311508,3.170218
4.339997,4.374913,3.170218
4.359997,4.438317,3.170218
4.379997,4.501722,3.170218
4.399997,4.565126,3.170218
4.419997,4.628531,3.170218
4.439997,4.691936,3.170218
4.459997,4.75534,3.170218
4.479997,4.818745,3.170218
4.499997,4.882149,3.170218
4.519997,4.945554,3.170218
4.539997,5.008958,3.170218
4.559997,5.072363,3.170218
4.579997,5.135767,3.170218
4.599997,5.199172,3.170218
4.619997,5.262577,3.170218
4.639997,5.325981,3.170218
4.659997,5.389386,3.170218
4.679996,5.45279,3.170218
4.699996,5.516195,3.170218
4.719996,5.579599,3.170218
4.739996,5.643004,3.170218
4.759996,5.706409,3.170218
4.779996,5.769813,3.170218
4.799996,5.833218,3.170218
4.819996,5.896622,3.170218
4.839996,5.960027,3.170218
4.859996,6.023431,3.170218
4.879996,6.086836,3.170218
4.899996,6.15024,3.170218
4.919996,6.213645,3.170218
4.939996,6.27705,3.170218
4.959996,6.340454,3.170218
4.979996,6.403859,3.170218
4.999996,6.467263,3.170218
5.019996,6.530668,3.170218
5.039996,6.594072,3.170218
5.059996,6.657477,3.170218
5.079996,6.720881,3.170218
5.099996,6.784286,3.170218
5.119996,6.847691,3.170218
5.139996,6.911095,3.170218
5.159996,6.9745,3.170218
5.179996,7.037904,3.170218
5.199996,7.101309,3.170218
5.219996,7.164713,3.170218
5.239996,7.228118,3.170218
5.259996,7.291523,3.170218
5.279996,7.354927,3.170218
5.299996,7.418332,3.170218
5.319996,7.481736,3.170218
5.339996,7.545141,3.170218
5.359996,7.608545,3.170218
5.379996,7.67195,3.170218
5.399996,7.735354,3.170218
5.419996,7.798759,3.170218
5.439996,7.862164,3.170218
5.459996,7.925568,3.170218
5.479996,7.988973,3.170218
5.499996,8.052377,3.170218
5.519996,8.115781,3.170218
5.539996,8.179185,3.170218
5.559996,8.242589,3.170218
5.579996,8.305993,3.170218
5.599996,8.369397,3.170218
5.619996,8.432801,3.170218
5.639996,8.496205,3.170218
5.659996,8.559609,3.170218
5.679996,8.623013,3.170218
5.699996,8.686418,3.170218
5.719995,8.749822,3.170218
5.739995,8.813226,3.170218
5.759995,8.87663,3.170218
5.779995,8.940034,3.170218
5.799995,9.003438,3.170218
5.819995,9.066842,3.170218
5.839995,9.130246,3.170218
5.859995,9.19365,3.170218
5.879995,9.257054,3.170218
5.899995,9.320458,3.170218
5.919995,9.383862,3.170218
5.939995,9.447267,3.170218
5.959995,9.510671,3.170218
5.979995,9.574075,3.170218
5.999995,9.637479,3.170218
6.019995,9.700883,3.170218
6.039995,9.764287,3.170218
6.059995,9.827691,3.170218
6.079995,9.891095,3.170218
6.099995,9.954499,3.170218
6.119995,10.0179,3.170218
6.139995,10.08131,3.170218
6.159995,10.14471,3.170218
6.179995,10.20812,3.170218
6.199995,10.27152,3.170218
6.219995,10.33492,3.170218
6.239995,10.39833,3.170218
6.259995,10.46173,3.170218
6.279995,10.52514,3.170218
6.299995,10.58854,3.170218
6.319995,10.65194,3.170218
6.339995,10.71535,3.170218
6.359995,10.77875,3.170218
6.379995,10.84216,3.170218
6.399995,10.90556,3.170218
6.419995,10.96896,3.170218
6.439995,11.03237,3.170218
6.459995,11.09577,3.170218
6.479995,11.15918,3.170218
6.499995,11.22258,3.170218
6.519995,11.28598,3.170218
6.539995,11.34939,3.170218
